H-01,रक्षा विज्ञान (आयुध तथा टेकनोलॉजी),बाला डाँ.मन मोहन विंग कमा.,"प्रभात प्रकाशन ,दिल्ली  "
H-02,परिष्कृत हिन्दी व्याकरण,कपूर बदरीनाथ,"प्रभात प्रकाशन ,दिल्ली"
H-03,अतंरिक्ष की रोचक बातें ,मिश्र शिव गोपाल एवं आशुतोष  ,"प्रतिभा प्रतिष्ठान , नई दिल्ली "
H-04,कंम्प्यूटर और पुस्तकालय  ,शर्मा डा. पांडेय एस.के  ,ग्रंथ अकादमी नई दिल्ली 
H-05,माधव जी सिंधिया,वर्मा वृन्दावनलाल ,"प्रभात प्रकाशन ,दिल्ली"
H-06,परिष्कृत हिन्दी व्याकरण ,कपूर बदरीनाथ,"प्रभात प्रकाशन ,दिल्ली"
H-07,घातक रोगों से कैसे बचें,श्रीवास्तव डा. एम.पी. एवं शशि श्रीवास्तव,"प्रभात प्रकाशन ,दिल्ली"
H-08,कंम्प्यूटर और पुस्तकालय  ,शर्मा डा. पाडेय एस.के.   ,"ग्रंथ अकादमी, नई दिल्ली"
H-09,खेल-खेल में गणित,गुप्त डा.भगवान स्वरूप और डा. भूषण शैलेन्द्र ,"सत्साहित्य प्रकाशन, दिल्ली"
H-10,भौतिकी की रोचक बातें ,मिश्र शिवगोपाल ,"प्रतिभा प्रतिष्ठान, नई दिल्ली"
H-11,रसायन की रोचक बातें  ,ओझा डी.डी.,"प्रतिभा प्रतिष्ठान, नई दिल्ली"
H-12,भारतीय वैज्ञानिक ,कृष्ण मुरारी लाल श्रीवास्तव ,"प्रतिभा प्रतिष्ठान, नई दिल्ली"
H-13,प्रसिद्ध वैज्ञानिक और उनके आविष्कार ,सुरजीत,"प्रतिभा प्रतिष्ठान, नई दिल्ली"
H-14,झांसी की रानी लक्ष्मीबाई  ,वर्मा वृंदावनलाल,"प्रभात प्रकाशन ,दिल्ली"
H-15,आबेडकर चित्रमय जीवनी ,पटोरिया राजेन्द्र ,"प्रभात प्रकाशन ,दिल्ली"
H-16,पृथ्वी की रोचक बातें,शिव गोपाल मिश्र ,"प्रतिभा प्रतिष्ठान , नई दिल्ली"
H-17,चिकित्सा व्यवस्था पर व्यंग्य,शरण सं.गिरिराज,"प्रभात प्रकाशन, दिल्ली"
H-18,पुस्तकालय और समाज ,शर्मा डा.पांडेय एस.के.  ,"ग्रंथ अकादमी, नई दिल्ली"
H-19,ऐसा क़्यों होता है? ,तुरशन पाल पाठक ,"ज्ञान गंगा ,दिल्ली "
H-20,लेजर नई आशा किरण ,गर्ग राजीव ,"सत्साहित्य प्रकाशन ,दिल्ली  "
H-21,विज्ञान की बातें ,अखिलेश श्रीवास्तव ,"ग्रंथ अकादमी ,नई दिल्ली"
H-22,जल प्रदूषण ,मिश्र शिवगोपाल ,"ज्ञान गंगा ,दिल्ली"
H-23,ध्वनि प्रदूषण ,डी.डी.ओझा ,"ज्ञान गंगा ,दिल्ली"
H-24,अग्रेंजी हिन्दी शब्दों का ठीक प्रयोग ,कैलाश चन्द्र भाटिया ,"प्रभात प्रकाशन ,दिल्ली"
H-25,कार्यालय कार्यबोध ,कसंल हरिबाबू ,"प्रभात प्रकाशन ,दिल्ली"
H-26,प्रशासनिक हिन्दी निपुणता ,कसंल हरिबाबू ,"प्रभात प्रकाशन ,दिल्ली"
H-27,बृहत विश्व सूक्तिकोश खण्ड - 1,वर्मा डॉ.श्याम बहादुर एवं डॉ. मधु,"प्रभात प्रकाशन ,दिल्ली"
H-28,बृहत विश्व सूक्तिकोश खण्ड - 2,वर्मा डॉ.श्याम बहादुर एवं डॉ. मधु,"प्रभात प्रकाशन ,दिल्ली"
H-29,बृहत विश्व सूक्तिकोश खण्ड - 3,वर्मा डॉ.श्याम बहादुर एवं डॉ. मधु,"प्रभात प्रकाशन ,दिल्ली"
H-30,अग्रेंजी -हिन्दी  मुहवरा लोकोक़्ति कोश ,तिवारी भोलानाथ ,"प्रभात प्रकाशन ,दिल्ली"
H-31,अग्रेंजी -हिन्दी प्रशासनिक कोश ,भाटिया कैलाश चन्द्र  ,"प्रभात प्रकाशन ,दिल्ली"
H-32,हिन्दी - अग्रेजी अभिव्यक़्ति कोश ,भाटिया कैलाश चन्द्र  ,"प्रभात प्रकाशन ,दिल्ली"
H-33,अग्रेजी हिन्दी अभिव्यक़्ति कोश,भाटिया कैलाशचन्द्र ,"प्रभात प्रकाशन ,दिल्ली"
H-34,रसायन विज्ञान कोश  ,मिश्र डाँ.शिवगोपाल ,सत्साहित्य प्रकाशन दिल्ली
H-35,बृहत जीव विज्ञान कोश ,सूद डॉ. महेश्वर सिहं एवं डॉ. अरूण कुमार,"प्रतिभा प्रतिष्ठान , नई दिल्ली"
H-36,अग्रेंजी हिन्दी जन्तु विज्ञान कोश ,सूद डॉ. महेश्वर सिहं एवं अरूण कुमार,"प्रतिभा प्रतिष्ठान , नई दिल्ली"
H-37,मानक हिन्दी - अग्रेजी कोश ,राममूार्ति सिहं ,"प्रभात प्रकाशन ,दिल्ली"
H-38,आरोग्य शास्त्र ,आचार्य चतुर सेन ,"प्रभात प्रकाशन ,दिल्ली"
H-39,हार्ट अटैक ,शाह डॉ. नटुभाई जे. ,"प्रभात प्रकाशन ,दिल्ली"
H-40,घातक रोगों से कैसे बचें? ,श्रीवास्तव डा. एम.पी.एवं शशि  ,"प्रभात प्रकाशन ,दिल्ली"
H-41,मन के रोग,अग्रवाल डॉ. यतीश ,"प्रभात प्रकाशन ,दिल्ली"
H-42,रासायनिक तथ्य किंतु सत्य ,राय सुशीला ,"ग्रंथ अकादमी ,नई दिल्ली"
H-43,हिन्दी अंग्रेजी मुहावरा लोकोक़्ति कोश ,भाटिया कैलाशचंद्र ,"प्रभात प्रकाशन ,दिल्ली"
H-44,अग्रेंजी - हिन्दी प्रशासनिक कोश  ,भाटिया कैलाशचंद्र ,"प्रभात प्रकाशन ,दिल्ली"
H-45,पेड-पौधों की आश्चर्यजनक बातें,मनीश कुमार ,"विधाविहार, नई दिल्ली "
H-46,मानव और पर्यावरण  ,व्यास हरिशचंद्र एवं कैलाश ,"विधाविहार, नई दिल्ली"
H-47,प्रवासी जीव- जन्तु  ,शर्मा सुनील कुमार ,"सत्साहित्य प्रकाशन ,दिल्ली"
H-48,जीव-जतुंओ की आश्चर्यजनक बातें ,हेमललित ,"विधाविहार, नई दिल्ली"
H-49,अग्रेंजी -हिन्दी शब्दों का ठीक प्रयोग  ,भाटिया कैलाशचंद्र,"प्रभात प्रकाशन ,दिल्ली"
H-50,प्रशासनिक शब्द – मालाएँ ,शिवनारायण चतुर्वेदी ,"प्रतिभा प्रतिष्ठान , नई दिल्ली"
H-51,गणित के रोचक खेल,गुप्त डा.भगवान स्वरूप और डा. भूषण शैलेन्द्र,"विधाविहार, नई दिल्ली"
H-52,श्याम सुदंर शर्मा  ,प्राथमिक चिकित्सा ,"ग्रंथ अकादमी  , नई दिल्ली"
H-53,भोलानाथ तिवारी ,मानक हिन्दी का स्वरूप,"प्रभात प्रकाशन ,दिल्ली"
H-54,व्यावहारिक हिन्दी व्याकरण ,श्याम चन्द्र कपूर ,"प्रभात प्रकाशन ,दिल्ली"
H-55,आओं प्रयोग करें ,श्याम सुदंर शर्मा ,"ग्रंथ अकादमी  , नई दिल्ली"
H-56,राजभाषा सहायिका ,अवधेश मोहन गुप्त ,"प्रभात प्रकाशन ,दिल्ली"
H-57,सागर प्रदूषण ,श्याम सुदंर शर्मा ,"ज्ञान गंगा ,दिल्ली"
H-58,अनुवाद भाषाएँ समस्याएँ ,अय्यर एन.ई. विश्वनाथ  ,"ज्ञान गंगा ,दिल्ली"
H-59,अनुवाद कला ,अय्यर एन.ई. विश्वनाथ  ,"प्रभात प्रकाशन ,दिल्ली"
H-60,हिन्दी पर्यायवाची कोश ,तिवारी डाँ भोलानाथ ,"प्रभात प्रकाशन ,दिल्ली"
H-61,हिंन्दी और भारतीय भाषाएँ ,तिवारी भोलानाथ और सिंह कमल ,"प्रभात प्रकाशन ,दिल्ली"
H-62,अग्रेजी हिन्दी मुहावरा लोकोक़्ति कोश ,तिवारी भोलानाथ  ,"प्रभात प्रकाशन ,दिल्ली"
H-63,कीट- पतंगों की आश्चर्य जनक बातें ,प्रकाश रजनीश ,"विधाविहार, नई दिल्ली"
H-64,सागर विज्ञान ,श्याम सुदंर शर्मा,"सत्साहित्य प्रकाशन ,दिल्ली"
H-65,व्यावहारिक हिन्दी पत्राचार ,दंगल झाल्टें ,"विधाविहार, नई दिल्ली"
H-66,फिटर शॉप थ्योरी ,बडेहरा आर.पी. के.वी.लाल ,"एशियन पब्लिशर्श ,दिल्ली"
H-67,कार पेन्ट्री थ्योरी ,जतन सिहं नरूला ,"एशियन पब्लिशर्श ,दिल्ली"
H-68,कार पेन्ट्री थ्योरी ,नरूका जतन सिहं ,"एशियन पब्लिशर्श ,दिल्ली"
H-69,कर्मशाला गणना एवं विज्ञान ,आर.सी.शर्मा करन सिहं ,न्यू एशियन पब्लिशर्श
